,MAE,RMSE,RelMAE_vs_RW,MASE,DirAcc,DecRate,p_vs_RW,p_vs_static
oracle_router,0.010804036680738366,0.01373149984640155,0.850283797607041,0.820954902432582,0.6639344262295082,1.0,0.0,0.0032714341299000527
static_nnls,0.010984933125778449,0.01399707298818991,0.8645204501478932,0.8347004891773071,0.6401639344262295,1.0,0.0,
gated_trailing,0.011111601986599353,0.014248314064241473,0.8744893611392243,0.8443255418635744,0.6516393442622951,1.0,5.617728504603292e-14,0.156802486948326
expert_arima,0.0111193885062511,0.014175545042505414,0.8751021646399225,0.8449172078926601,0.6385245901639345,1.0,0.0,0.0411107044948531
expert_ridge_ar,0.011163487615455417,0.014225874552791362,0.8785727894770433,0.8482681202381114,0.6286885245901639,1.0,8.881784197001252e-16,0.008132513131353658
expert_boosting,0.011221111497769162,0.01429486551438942,0.8831078216075751,0.8526467252059199,0.6303278688524591,1.0,3.228084466400105e-12,0.007144503641044464
simple_avg,0.011330878248814262,0.01441627909369418,0.8917465269996078,0.8609874551624581,0.639344262295082,1.0,9.633405184672483e-12,0.00017808554761722384
gated,0.011461897357608969,0.014712486910941994,0.9020578049670055,0.8709430655380804,0.6254098360655738,1.0,1.1995138882170409e-08,0.00010754550444014299
rw,0.012706388985823597,0.016184860704250452,1.0,0.9655069339707524,,0.0,,0.0
expert_sequence,0.01574020493529895,0.020262236586099516,1.2387630311696072,1.196034296140883,0.5631147540983606,1.0,2.220446049250313e-16,0.0
